System,delH TS,delH rxn,n3,2-Nocc
A,66.66229117,22.25759931,0,0.01671
B,40.57339084,0.153507272,1,0.04649
C,49.46336784,3.161067342,0,0.02899
D,21.35433864,-12.08409385,2,0.12508
E,28.58240827,-18.1731004,1,0.08149
F,38.65407275,-3.486264583,1,0.06914
G,34.57986801,-14.34826597,0,0.045
H,13.17066865,-10.66644591,3,0.16741
I,7.47695786,-34.05771081,2,0.16305
J,18.23588803,-12.19432894,2,0.16693
K,6.587061596,-54.32066213,1,0.13204
L,21.18604902,-52.64226177,0,0.06393
